nhdhr_id,geometry,Depth_avg,area
nhdhr_120018233,-93.935391;44.8104190000001,3.6,744401.431454208
nhdhr_120018133,-93.617542;44.880231,5.9,2719878.84095205
nhdhr_120020348,-92.84246;45.2368760000001,3.8,242775.560731538
nhdhr_120018006,-92.964747;45.1845870000001,1.8,1341313.35140954
nhdhr_91597015,-93.343169;44.7108900000001,3.2,209005.186147312
nhdhr_113471457,-83.596875;44.855506,2.0,35521427.0836217
nhdhr_77358322,-89.988462;45.9047430000001,4.8,9511990.0
nhdhr_120018102,-93.672988;44.9315500000001,4.3,580087.263941105
nhdhr_120018074,-93.219778;45.0448260000001,3.2,286692.377950344
nhdhr_74926527,-91.4378159999999;45.8752180000001,5.7,3235744.9877394
nhdhr_120018046,-93.013954;45.0765740000001,5.9,9846677.54692947
nhdhr_120018106,-93.2385419999999;44.9137030000001,3.3,827232.634611069
nhdhr_120019712,-93.746277;45.0655980000001,4.9,1065443.22410989
nhdhr_120018049,-93.461303;45.1014030000001,4.7,962043.564206278
nhdhr_120020225,-93.873958;44.8113090000001,4.1,902026.694389479
nhdhr_151949888,-91.969689;45.4276180000001,3.1,621382.862849939
nhdhr_34130489,-93.3883069999999;44.9712270000001,3.2,156412.553326018
nhdhr_120018091,-93.5645509999999;44.9860210000001,4.9,1158393.99380312
nhdhr_145088870,-97.283762;45.506699,5.8,4027426.01260243
nhdhr_86274695,-95.903312;46.8297170000001,3.4,1654064.04038154
nhdhr_120017997,-93.3520829999999;45.239583,2.2,1063518.81663848
nhdhr_120018495,-95.897955;46.760653,4.1,5151261.37763451
nhdhr_34126452,-93.20724;45.067912,3.2,153730.132979191
nhdhr_143250015,-89.2238389999999;42.964546,5.5,12961051.7647056
nhdhr_45728298,-94.1869809999999;45.3188740000001,4.6,529988.396377104
nhdhr_69546831,-92.055959;45.873142,5.5,1589162.86926762
nhdhr_120018124,-93.6620609999999;44.889396,4.1,943268.200039809
nhdhr_143250529,-89.001468;42.832141,7.5,42905746.5163247
nhdhr_120018025,-93.04637;45.123653,2.6,1284245.2361911
nhdhr_123148239,-89.763278;46.2215390000001,8.0,5927641.59684539
nhdhr_91594687,-93.578514;44.8380010000001,3.9,616138.165594935
nhdhr_120018022,-93.15254;45.13906,2.4,229721.698074354
nhdhr_152335370,-84.3088949999999;41.977272,4.8,5309790.67962945
nhdhr_86275759,-95.8751129999999;46.7538010000001,2.6,286195.534787868
nhdhr_143250615,-88.9772589999999;42.8009200000001,4.1,313479.974997371
nhdhr_120020200,-93.530208;44.8803830000001,5.7,992424.761202296
nhdhr_74924599,-91.235417;46.0781040000001,5.7,4833160.622406
nhdhr_69547949,-92.137027;45.77018,4.9,687397.886711359
nhdhr_155445200,-88.964915;43.8435680000001,1.6,30962376.2524708
nhdhr_166867872,-94.112119;46.6701350000001,4.5,7180236.71499461
nhdhr_120020567,-90.1760419999999;47.9860150000001,8.4,8266371.24650621
nhdhr_eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,-91.7645919999999;47.931117,9.7,5228027.208
nhdhr_155442829,-89.5482919999999;43.985417,4.5,486573.187650591
nhdhr_120018459,-95.831294;46.8703770000001,4.1,4766581.73089846
nhdhr_32732186,-92.4770829999999;44.211143,22.0,2891666.94710567
nhdhr_105954753,-92.475694;47.9590260000001,16.3,160057287.682918
nhdhr_34126002,-93.244792;45.077029,2.9,111693.464714246
nhdhr_120018079,-93.122896;45.039564,4.2,1512139.35783348
nhdhr_143249192,-88.438215;43.115997,4.4,4948536.45299106
nhdhr_34130818,-93.485506;44.952972,6.7,216409.533607289
nhdhr_120020342,-92.8072069999999;45.2709540000001,3.6,298718.82078728
nhdhr_120018139,-93.676969;44.8437750000001,3.5,665016.697791836
nhdhr_147307413,-98.751547;46.96493,74.9,7910291.84043676
nhdhr_121860894,-85.7579899999999;43.391761,5.6,3090521.94757482
nhdhr_143251029,-88.6214889999999;42.6147020000001,3.3,7717083.57949762
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,-92.6657709999999;48.4967330000001,23.4,97393923.2443385
nhdhr_120018100,-93.306635;44.936676,4.9,1697300.9185965
nhdhr_91689945,-92.650339;45.052537,4.9,1496853.77916369
nhdhr_120020242,-93.434947;44.7262000000001,6.1,1503031.25347344
nhdhr_74926427,-91.071875;45.891129,5.1,59055775.73706
nhdhr_120018071,-93.1135419999999;45.0462920000001,2.7,173290.343843565
nhdhr_120018081,-93.0663479999999;45.0156440000001,4.2,951058.155132778
nhdhr_120020198,-93.847;44.8932590000001,2.9,1222799.44350502
nhdhr_91683191,-93.0907349999999;45.407291,3.1,1206609.56833117
nhdhr_120020199,-93.435898;44.884376,4.6,715094.993105067
nhdhr_143249864,-88.4979969999999;42.955862,2.2,262511.400331773
nhdhr_120020354,-92.865625;45.203152,6.7,6833245.30839621
nhdhr_120019749,-94.953502;45.7407660000001,3.9,8631774.34185821
nhdhr_120018132,-93.6489579999999;44.8797890000001,4.4,430456.224058481
nhdhr_37648599,-93.252083;44.72488,2.9,222262.981652908
nhdhr_120020387,-92.985765;45.02745,2.5,296208.173839724
nhdhr_32672122,-93.41875;43.902428,2.6,369091.150363723
nhdhr_37648997,-92.6948829999999;44.634979,4.0,587795.0
nhdhr_129223861,-86.114212;44.7051900000001,7.2,10252224.9348038
nhdhr_75651475,-88.8320189999999;45.548166,5.3,114445.730127834
nhdhr_120019371,-92.6657709999999;48.4967330000001,23.4,97252533.34
nhdhr_120018092,-93.320389;44.9859060000001,3.5,154536.155860109
nhdhr_120020246,-93.382127;44.6934880000001,2.7,585767.24703467
nhdhr_143249221,-88.5222229999999;43.1241200000001,4.2,390920.16481934
nhdhr_91594761,-93.6447919999999;44.837027,4.3,673629.535923424
nhdhr_120020213,-93.4493639999999;44.836307,5.2,665107.387658601
nhdhr_120018361,-94.999717;45.238055,3.7,2966920.70494833
nhdhr_107074156,-92.320948;46.8642550000001,5.7,1975942.98311465
nhdhr_120017988,-93.173958;45.2907200000001,3.2,5994375.7725842
nhdhr_120019861,-94.4366669999999;45.275895,3.0,2141066.79098724
nhdhr_32671150,-93.8185369999999;44.1897430000001,4.4,5833046.90092508
nhdhr_75655457,-88.636772;44.7004670000001,3.6,350827.102038607
nhdhr_120018047,-93.039584;45.0818760000001,2.7,434452.379668057
nhdhr_120018059,-93.209546;45.08412,4.0,768974.887846199
nhdhr_155636540,-86.174154;42.0618710000001,4.0,2051677.17449387
nhdhr_34131145,-93.707196;44.9478970000001,3.8,211505.390411094
nhdhr_86275133,-95.907987;46.774886,3.4,580072.996399413
nhdhr_120020245,-93.314464;44.7021370000001,4.0,938198.656446262
nhdhr_120018140,-93.696973;44.828782,4.4,1200529.70046093
nhdhr_166867860,-94.112119;46.6701350000001,4.5,5516056.03530431
nhdhr_166867865,-94.112119;46.6701350000001,4.5,737003.986645777
nhdhr_70334219,-89.788743;45.756627,3.6,177641.886750787
nhdhr_120018098,-92.975921;44.947326,3.3,392364.719501272
nhdhr_81642745,-93.4545219999999;45.3370870000001,3.1,966143.637472197
nhdhr_26F12E6A-07D1-4DC6-8BEA-980AD41B687A,-92.431178;48.3053580000001,11.9,5211158.172
nhdhr_34129544,-93.0520749999999;44.9826840000001,4.3,800016.976442041
nhdhr_120018108,-93.1494929999999;44.9032800000001,4.7,293727.110905964
